Site,Temperature  ,pH ,TDS ,Salinity,Dissolved_oxygen,Depth,Macrophyte_Biomass
Upper,20.9,5.87,26,0.01,5.8,28,5.319
Upper,20.4,5.77,28,0.01,7.59,26,2.64200000000001
Upper,20.4,5.72,27,0.01,6.55,30,23.206
Upper,20.4,5.69,28,0.01,6.54,29,2.664
Upper,20.55,5.8,27,0.01,7.56,29,3.977
Upper,20.5,5.8,27,0.01,7.57,20,5.01700000000001
Upper,20.78,5.9,27,0.01,6.7,19,183.595
Upper,21.33,5.73,27,0.01,6.52,18,70.046
Upper,21.1,5.64,29,0.01,7.01,17,32.61
Upper,21.3,5.87,26,0.01,6.65,13,9.958
Upper,21.6,5.87,25,0.01,6.54,28,2.664
Upper,20.9,5.03,27,0.01,6.54,27,2.664
Upper,20.6,5.03,29,0.01,6.05,19,5.102
Upper,21.3,5.03,25,0.01,6.62,14,5
Upper,21.4,5.8,26,0.01,7.56,24,3.54
Upper,20.3,5.8,28,0.01,6.65,26,2.64
Upper,20.8,5.9,26,0.01,5.8,27,5.317
Upper,20.4,5.73,24,0.01,5.87,29,6.42
Upper,21.3,5.87,25,0.01,6.65,24,7.251
Upper,21.3,5.64,28,0.01,6.21,26,3.24
Upper,20.4,5.87,29,0.01,6.65,26,2.642
Upper,20.8,5.77,27,0.01,6.01,28,9.571
Upper,20.4,5.72,28,0.01,7.57,24,9.142
Upper,20.4,5.69,27,0.01,7.52,29,3.51
Upper,21.3,5.8,26,0.01,7.35,29,2.44
Upper,20.8,5.69,26,0.01,5.81,26,6.157
Upper,20.5,5.9,26,0.01,5.35,27,4.123
Upper,21.3,5.73,28,0.01,7.56,28,3.561
Upper,20.5,5.64,28,0.01,5.83,28,9.765
Upper,21.33,5.69,28,0.01,6.65,27,4
Upper,21.33,5.87,27,0.01,5.62,25,4.351
Upper,20.5,5.77,27,0.01,6.35,24,5.312
Upper,21.3,5.03,28,0.01,7.57,28,6.234
Upper,20.5,5.69,26,0.01,5.72,28,6.222
Upper,20.8,5.8,25,0.01,5.27,27,6.714
Upper,21.33,5.8,27,0.01,6.65,26,5.032
Upper,21.3,5.69,28,0.01,6.65,29,5.12
Upper,20.5,5.69,29,0.01,5.55,27,5.34
Upper,20.8,5.64,28,0.01,7.35,25,6.42
Upper,20.4,5.64,27,0.01,7.56,17,14.2
Upper,20.9,6.17,27,0.01,6.7,28,2.4872
Upper,20.6,6.15,29,0.01,6.52,27,23.206
Upper,21.3,6.134,26,0.01,7.24,19,2.664
Upper,21.4,5.73,25,0.01,6.65,14,3.977
Upper,20.3,5.64,27,0.01,6.54,24,5.687
Upper,20.8,5.87,29,0.01,6.35,26,183.595
Upper,20.4,5.73,25,0.01,6.05,27,79.046
Upper,21.3,5.64,26,0.01,6.62,29,32.61
Upper,21.3,4,28,0.01,7.56,24,9.958
Upper,22,5.73,26,0.01,6.05,26,7.32
Middle,20.9,7.71,39,0.02,6.02,34,2.53100000000001
Middle,20.7,7.13,35,0.02,6.61,21,1.083
Middle,20.7,6.36,33,0.02,6.2,27,19.459
Middle,20.7,6.17,33,0.02,6.09,30,10.968
Middle,20.7,6.15,35,0.02,5.6,36,1.88600000000001
Middle,20.6,6.22,33,0.02,7.1,13,88.733
Middle,20.6,6.25,29,0.02,6.78,13,6.078
Middle,20.5,6.44,33,0.02,6.6,10,10.995
Middle,20.4,6.36,33,0.02,6.35,17,9.85000000000001
Middle,20.4,6.15,33,0.02,6.58,16,37.981
Middle,20.24,7.81,32,0.02,6.03,22,2.6
Middle,20.711,7.61,34,0.02,6.61,23,40.7
