Temperature  (°C),pH ,TDS (mg/l),Dissolved Oxygen (mg/l),Depth (mg),Macrophyte Biomass (g)
20.9,5.87,26,5.8,28,5.319
20.4,5.77,28,7.59,26,2.64200000000001
20.4,5.72,27,6.55,30,23.206
20.4,5.69,28,6.54,29,2.664
20.55,5.8,27,7.56,29,3.977
20.5,5.8,27,7.57,20,5.01700000000001
20.78,5.9,27,6.7,19,183.595
21.33,5.73,27,6.52,18,70.046
21.1,5.64,29,7.01,17,32.61
21.3,5.87,26,6.65,13,9.958
21.6,5.87,25,6.54,28,2.664
20.9,5.03,27,6.54,27,2.664
20.6,5.03,29,6.05,19,5.102
21.3,5.03,25,6.62,14,5
21.4,5.8,26,7.56,24,3.54
20.3,5.8,28,6.65,26,2.64
20.8,5.9,26,5.8,27,5.317
20.4,5.73,24,5.87,29,6.42
21.3,5.87,25,6.65,24,7.251
21.3,5.64,28,6.21,26,3.24
20.4,5.87,29,6.65,26,2.642
20.8,5.77,27,6.01,28,9.571
20.4,5.72,28,7.57,24,9.142
20.4,5.69,27,7.52,29,3.51
21.3,5.8,26,7.35,29,2.44
20.8,5.69,26,5.81,26,6.157
20.5,5.9,26,5.35,27,4.123
21.3,5.73,28,7.56,28,3.561
20.5,5.64,28,5.83,28,9.765
21.33,5.69,28,6.65,27,4
21.33,5.87,27,5.62,25,4.351
20.5,5.77,27,6.35,24,5.312
21.3,5.03,28,7.57,28,6.234
20.5,5.69,26,5.72,28,6.222
20.8,5.8,25,5.27,27,6.714
21.33,5.8,27,6.65,26,5.032
21.3,5.69,28,6.65,29,5.12
20.5,5.69,29,5.55,27,5.34
20.8,5.64,28,7.35,25,6.42
20.4,5.64,27,7.56,17,14.2
20.9,6.17,27,6.7,28,2.4872
20.6,6.15,29,6.52,27,23.206
21.3,6.134,26,7.24,19,2.664
21.4,5.73,25,6.65,14,3.977
20.3,5.64,27,6.54,24,5.687
20.8,5.87,29,6.35,26,183.595
20.4,5.73,25,6.05,27,79.046
21.3,5.64,26,6.62,29,32.61
21.3,4,28,7.56,24,9.958
22,5.73,26,6.05,26,7.32
20.9,7.71,39,6.02,34,2.53100000000001
20.7,7.13,35,6.61,21,1.083
20.7,6.36,33,6.2,27,19.459
20.7,6.17,33,6.09,30,10.968
20.7,6.15,35,5.6,36,1.88600000000001
20.6,6.22,33,7.1,13,88.733
20.6,6.25,29,6.78,13,6.078
20.5,6.44,33,6.6,10,10.995
20.4,6.36,33,6.35,17,9.85000000000001
20.4,6.15,33,6.58,16,37.981
20.24,7.81,32,6.03,22,2.6
20.711,7.61,34,6.61,23,40.7
20.7,7.99,39,6.21,35,4.2
20.41,7.46,31,6.78,27,5
20.22,7.38,30,6.1,25,13.2
20.61,7.64,33,6.1,22,20
20.6,7.88,32,6.58,18,29.44
20.43,7.64,34,5.67,32,5.887
20.4,6.54,28,5.83,36,6.88883
20.4,6.97,27,6.24,24,88.733
20.88,6.25,31,6.61,37,6.078
20.64,6.71,33,618,34,10.995
20.7,6.87,32,6.58,20,6.024
20.47,6.47,28,6.31,27,5.3731
20.46,7.24,34,7,36,6.214
20.69,7.84,32,6.4,36,17.553
20.6,7.45,38,6.21,27,2.34875
20.5,7.63,36,7.21,23,6.1482
20.44,7.68,34,5.3,15,38.14
20.4,6.24,35,6.22,14,9.56
20.9,6.14,38,6.58,26,2.93
20.68,7.54,36,7,33,27.84318
20.66,6.12,32,7.3,16,3.19
20.7,6.14,28,6.54,28,56.21
20.78,7.38,27,5.69,24,71.22
20.38,7.64,25,6.12,20,3.01
20.61,7.88,28,5.45,15,14.02
20.22,7.64,31,5.92,19,16.512
20.4,6.54,34,6.58,28,7.16
20.4,6.97,36,6.61,17,2.009
20.9,6.22,33,7.1,32,6.88883
20.68,6.25,32,6.78,17,88.733
20.66,6.44,28,6.6,18,6.078
20.7,6.36,36,6.35,40,10.12
20.78,6.24,32,6.41,17,6.123
20.64,7.22,39,6.13,12,5.421
20.61,7.34,36,6.67,11,71.22
20.34,7.12,34,6.21,31,3.1234
20.4,7.34,31,6.28,20,14.145
20.9,6.16,30,6.1,40,9.3425546
